File_Path  Columns_Name  Columns_Data_Type  Record_Count
F:\Server\Ref\Import\Eco_IGN_N64.tsv	[Game],[Platform],[Score],[Genre]	[VARCHAR(16)],[VARCHAR(13)],[VARCHAR(3)],[VARCHAR(27)]	17534
F:\Server\Ref\Import\Eco_Ill.tsv	[Ill]	[VARCHAR(56)]	73
F:\Server\Ref\Import\Eco_Instrument.tsv	[Instrument]	[VARCHAR(18)]	60
F:\Server\Ref\Import\Eco_LafPat_AngoMode.tsv	[PCode],[PDesc],[Color]	[VARCHAR(15)],[VARCHAR(58)],[VARCHAR(19)]	15626
F:\Server\Ref\Import\Eco_LafPat_ArborWear.tsv	[PCode],[PDesc],[Color]	[VARCHAR(20)],[VARCHAR(60)],[VARCHAR(31)]	19586
F:\Server\Ref\Import\Eco_LafPat_Asics.tsv	[PCode],[PDesc],[Color]	[VARCHAR(15)],[VARCHAR(56)],[VARCHAR(31)]	39504
F:\Server\Ref\Import\Eco_Lafpat_Axara.tsv	[PCode],[PDesc],[Color]	[VARCHAR(15)],[VARCHAR(60)],[VARCHAR(28)]	28791
F:\Server\Ref\Import\Eco_Lafpat_BMC.tsv	[PCode],[PDesc],[Color]	[VARCHAR(15)],[VARCHAR(60)],[VARCHAR(30)]	17947
F:\Server\Ref\Import\Eco_LafPat_C-Life.tsv	[PCode],[PDesc],[Color]	[VARCHAR(15)],[VARCHAR(60)],[VARCHAR(31)]	75943
F:\Server\Ref\Import\Eco_LafPat_Corporativo.tsv	[PCode],[PDesc],[Color]	[VARCHAR(15)],[VARCHAR(60)],[VARCHAR(19)]	11725
F:\Server\Ref\Import\Eco_Lafpat_Focus.tsv	[PCode],[PDesc],[Color]	[VARCHAR(15)],[VARCHAR(58)],[VARCHAR(31)]	40282
F:\Server\Ref\Import\Eco_LafPat_Janor.tsv	[PCode],[PDesc],[Color]	[VARCHAR(15)],[VARCHAR(60)],[VARCHAR(31)]	45081
F:\Server\Ref\Import\Eco_LafPat_Marsylka.tsv	[PCode],[PDesc],[Color]	[VARCHAR(15)],[VARCHAR(60)],[VARCHAR(31)]	48650
F:\Server\Ref\Import\Eco_LafPat_Modextil.tsv	[PCode],[PDesc],[Color]	[VARCHAR(15)],[VARCHAR(60)],[VARCHAR(31)]	113826
F:\Server\Ref\Import\Eco_LafPat_Renwil.tsv	[PCode],[PDesc],[Color]	[VARCHAR(15)],[VARCHAR(60)],[VARCHAR(31)]	44955
F:\Server\Ref\Import\Eco_Noun.tsv	[Noun]	[VARCHAR(20)]	6801
F:\Server\Ref\Import\Eco_Procept	NULL	NULL	NULL
F:\Server\Ref\Import\Eco_Procept.Error.Txt	NULL	NULL	NULL
F:\Server\Ref\Import\Eco_Procept.tsv	[Procept]	[VARCHAR(116)]	206
F:\Server\Ref\Import\Eco_Pronoun.tsv	[Pronoun]	[VARCHAR(12)]	121
F:\Server\Ref\Import\Eco_Quality.tsv	[Quality]	[VARCHAR(10)]	9
F:\Server\Ref\Import\Eco_Store.tsv	[Store]	[VARCHAR(117)]	170
F:\Server\Ref\Import\Eco_Syllable.tsv	[Syllable]	[VARCHAR(13)]	7249
F:\Server\Ref\Import\Eco_Symbol.tsv	[Symbol]	[VARCHAR(24)]	160
F:\Server\Ref\Import\Eco_Theorem.tsv	[Theorem]	[VARCHAR(114)]	1136
F:\Server\Ref\Import\Eco_Ustencile.tsv	[Ustencile]	[VARCHAR(26)]	57
F:\Server\Ref\Import\Eco_Verb.tsv	[Verb]	[VARCHAR(19)]	3248
F:\Server\Ref\Import\data\202004-divvy-tripdata	NULL	NULL	NULL
F:\Server\Ref\Import\data\202004-divvy-tripdata.csv	[ride_id],[rideable_type],[started_at],[ended_at],[start_station_name],[start_station_id],[end_station_name],[end_station_id],[start_lat],[start_lng],[end_lat],[end_lng],[member_casual]	[VARCHAR(16)],[VARCHAR(11)],[DATETIME],[DATETIME],[VARCHAR(43)],[TINYINT],[VARCHAR(43)],[TINYINT],[DECIMAL(7, 4)],[DECIMAL(8, 4)],[DECIMAL(7, 4)],[DECIMAL(8, 4)],[VARCHAR(7)]	84677
F:\Server\Ref\Import\data\202004-divvy-tripdata.Error.Txt	NULL	NULL	NULL
F:\Server\Ref\Import\data\customer.csv	[Nb],[FirstName],[LastName],[Email],[Phone]	[SMALLINT],[VARCHAR(24)],[VARCHAR(22)],[VARCHAR(43)],[VARCHAR(19)]	847
F:\Server\Ref\Import\data\salesorder	NULL	NULL	NULL
F:\Server\Ref\Import\data\salesorder.csv	[Order],[DateTime],[a],[b],[c],[d]	[SMALLINT],[DATETIME],[INT],[SMALLINT],[TINYINT],[VARCHAR(3)]	542
F:\Server\Ref\Import\data\salesorder.Error.Txt	NULL	NULL	NULL
F:\Server\Ref\Import\data\test.csv	[C1],[C2],[C3]	[VARCHAR(4)],[VARCHAR(8)],[VARCHAR(7)]	2
F:\Server\Ref\Import\data\arin_data_sets\arin_cust.tsv	[cust_id],[cust_name]	[VARCHAR(9)],[VARCHAR(78)]	43238
F:\Server\Ref\Import\data\arin_data_sets\arin_net.tsv	[net_id],[net_name],[cidr],[net_range],[net_type],[asn],[org_cust_id]	[VARCHAR(21)],[VARCHAR(50)],[VARCHAR(18)],[VARCHAR(33)],[VARCHAR(44)],[VARCHAR(86)],[VARCHAR(12)]	37622
F:\Server\Ref\Import\data\arin_data_sets\arin_org.tsv	[org_id],[org_name]	[VARCHAR(12)],[VARCHAR(98)]	6325
F:\Server\Ref\Import\data\arin_data_sets\ipranges.csv	[Network Address],[First IP],[Last IP],[Subnet Mask],[Broadcast address],[Total IP's]	[VARCHAR(12)],[VARCHAR(12)],[VARCHAR(14)],[VARCHAR(13)],[VARCHAR(14)],[VARCHAR(4)]	4286
